"Citation Key","First Author","Other Authors","Affiliation","Title","Year","Publisher / Journal","Volume / Issue","Pages","Extra Notes","ISBN"
"Williams ’95","P. M. Williams","",,"Bayesian regularization and pruning using a Laplace prior","1995","Neural computation","7(1)","117-143","",""
"Wu ’21","D. Wu","Y. Wang",,"Adversarial neuron pruning purifies backdoored deep models","2021","Advances in Neural Information Processing Systems","34","16913-16925","",""
"Frankle ’18","J. Frankle","M. Carbin",,"The lottery ticket hypothesis: Finding sparse, trainable neural networks","2018","arXiv preprint arXiv:1803.03635","","","",""
"Lu ’24","H. Lu","M. Alemi; R. Rawassizadeh",,"The Impact of Quantization and Pruning on Deep Reinforcement Learning Models","2024","arXiv preprint arXiv:2407.04803","","","",""
"Hu ’21","E. J. Hu","Y. Shen; P. Wallis; Z. Allen-Zhu; Y. Li; S. Wang; W. Chen",,"Lora: Low-rank adaptation of large language models","2021","arXiv preprint arXiv:2106.09685","","","",""
"Dao ’22","T. Dao","D. Fu; S. Ermon; A. Rudra; C. Ré",,"FlashAttention: Fast and memory-efficient exact attention with io-awareness","2022","Advances in Neural Information Processing Systems","35","16344-16359","",""
"Dao ’23","T. Dao","",,"FlashAttention-2: Faster attention with better parallelism and work partitioning","2023","arXiv preprint arXiv:2307.08691","","","",""
"Shazeer ’19","N. Shazeer","",,"Fast transformer decoding: One write-head is all you need","2019","arXiv preprint arXiv:1911.02150","","","",""
"Chowdhery ’23","A. Chowdhery","S. Narang; J. Devlin; M. Bosma; G. Mishra; A. Roberts; N. Fiedel",,"Palm: Scaling language modeling with pathways","2023","Journal of Machine Learning Research","","","",""
"Ainslie ’23","Ainslie","Lee-Thorp; de Jong; Zemlyanskiy; Lebrón; Sanghai",,"GQA: Training generalized multi-query transformer models from multi-head checkpoints","2023","arXiv","","","preprint arXiv:2305.13245",""
"Beltagy ’20","Beltagy","Peters; Cohan",,"Longformer: The long-document transformer","2020","arXiv","","","preprint arXiv:2004.05150",""
"Shui ’19","Shui","Abbasi; Robitaille; Wang; Gagné",,"A principled approach for learning task similarity in multitask learning","2019","arXiv","","","preprint arXiv:1903.09109",""
"Aoki ’22","Aoki","Tung; Oliveira",,"Heterogeneous multi-task learning with expert diversity","2022","IEEE/ACM Transactions on Computational Biology and Bioinformatics","19(6)","3093-3102","",""
"Schmidhuber ’87","Schmidhuber","",,"Evolutionary principles in self-referential learning, or on learning how to learn: the meta-meta-... hook","1987","Doctoral dissertation, Technische Universität München","","","",""
"Santoro ’16","Santoro","Bartunov; Botvinick; Wierstra; Lillicrap",,"Meta-learning with memory-augmented neural networks","2016","In International Conference on Machine Learning","","1842-1850","PMLR",""
"Finn ’17","Finn","Abbeel; Levine",,"Model-Agnostic Meta-Learning for fast adaptation of deep networks","2017","In International conference on machine learning","","1126-1135","PMLR",""
"Weinshall ’18","Weinshall","Cohen; Amir",,"Curriculum learning by transfer learning: Theory and experiments with deep networks","2018","In International Conference on Machine Learning","","5238-5246","PMLR",""
"Karimi ’22","Karimi","Mehrpanah; Rawassizadeh",,"LightDepth: A Resource Efficient Depth Estimation Approach for Dealing with Ground Truth Sparsity via Curriculum Learning","2022","arXiv","","","preprint arXiv:2211.08608",""
"Konečný ’18","Konečný","McMahan; Ramage; Richtárik",,"Federated optimization: Distributed machine learning for on-device intelligence","2016","arXiv","","","preprint arXiv:1610.02527",""
"McMahan ’17","McMahan","Moore; Ramage; Hampson; y Arcas",,"Communication-efficient learning of deep networks from decentralized data","2017","In Artificial intelligence and statistics","","1273-1282","PMLR",""
"Acar ’21","Acar","Zhao; Navarro; Mattina; Whatmough; Saligrama",,"Federated learning based on dynamic regularization","2021","arXiv","","","preprint arXiv:2111.04263",""
"Rawassizadeh ’18","Rawassizadeh","Pierson; Peterson; Kotz",,"NoCloud: Exploring network disconnection through on-device data analysis","2018","IEEE Pervasive Computing","17(1)","64-74","",""
"Cheng ’17","Cheng","Wang; Zhou; Zhang",,"A survey of model compression and acceleration for deep neural networks","2017","arXiv","","","preprint arXiv:1710.09282",""
"Liu ’22","Liu","Cao; Li; Hu; Ding; Li",,"Cross-Architecture Knowledge Distillation","2022","In Proceedings of the Asian Conference on Computer Vision","","3396-3411","",""
"Li ’20","Li","Peng; Yuan; Wang; Liang; Lin; Chang",,"Block-wisely supervised neural architecture search with knowledge distillation","2020","In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","1989-1998","",""
"Romero ’14","Romero","Ballas; Kahou; Chassang; Gatta; Bengio",,"Fitnets: Hints for thin deep nets","2014","arXiv","","","preprint arXiv:1412.6550",""
"Chen ’17","Chen","Choi; Yu; Han; Chandraker",,"Learning efficient object detection models with knowledge distillation","2017","Advances in neural information processing systems","30","","",""
"Elsken ’19","Elsken","Metzen; Hutter",,"Neural architecture search: A survey","2019","The Journal of Machine Learning Research","20(1)","1997-2017","",""
"Gholami ’21","Gholami","Kim; Dong; Yao; Mahoney; Keutzer",,"A survey of quantization methods for efficient neural network inference","2021","arXiv","","","preprint arXiv:2103.13630",""
"Howard ’17","Howard","Zhu; Chen; Kalenichenko; Wang; Weyand; Adam",,"Mobilenets: Efficient convolutional neural networks for mobile vision applications","2017","arXiv","","","preprint arXiv:1704.04861",""
"Iandola ’16","Iandola","Han; Moskewicz; Ashraf; Dally; Keutzer",,"SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and< 0.5 MB model size","2016","arXiv","","","preprint arXiv:1602.07360",""
"Tan ’19","Tan","Le",,"Efficientnet: Rethinking model scaling for convolutional neural networks","2019","In International conference on machine learning","","6105-6114","PMLR",""
"Mehta ’21","Mehta","Rastegari",,"Mobilevit: light-weight, general-purpose, and mobile-friendly vision transformer","2021","arXiv","","","preprint arXiv:2110.02178",""
"Salathe ’11","Salathé","Khandelwal",,"Assessing vaccination sentiments with online social media: implications for infectious disease dynamics and control","2011","PLoS computational biology","7(10)","e1002199","",""
"Collier ’11","Collier","Son; Nguyen",,"OMG U got flu? Analysis of shared health messages for bio-surveillance","2011","Journal of biomedical semantics","2(5)","1-10","",""
"Chen ‘11","Chen","Fay; Wang",,"The role of marketing in social media: How online consumer reviews evolve","2011","Journal of interactive marketing","25(2)","85-94","",""
"Gan '11","Gan","Wang; Javaheri; Momeni-Ortner; Dehghani; Hosseinzadeh; Rawassizadeh",,"11 Years with Wearables: Quantitative Analysis of Social Media, Academia, News Agencies, and Lead User Community from 2009-2020 on Wearable Technologies","2021","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","5(1)","1-26","",""
"Bradshaw ’17","Bradshaw","Howard",,"Troops, trolls and troublemakers: A global inventory of organized social media manipulation","2017","Computational Propaganda Research Project","","","",""
"Jarník ’30","Jarník","",,"O jistém problému minimálním [About a certain minimal problem]","1930","Práce Moravské Přírodovědecké Společnosti","6(4)","57–63","(in Czech)",""
"Prim ’57","Prim","",,"Shortest connection networks and some generalizations","1957","The Bell System Technical Journal","36(6)","1389-1401","",""
"Kruskal ’56","Kruskal","",,"On the shortest spanning subtree of a graph and the traveling salesman problem","1956","Proceedings of the American Mathematical Society","7(1)","48–50","",""
"Dijkstra ’59","Dijkstra","",,"A note on two problems in connexion with graphs","1959","Numerische Mathematik","1","269–271","(PDF)",""
"Hart ’68","Hart","Nilsson; Raphael",,"A formal basis for the heuristic determination of minimum cost paths","1968","IEEE Transactions on Systems Science and Cybernetics","4(2)","100-107","",""
"Kuhn ’55","Kuhn","",,"The Hungarian method for the assignment problem","1955","Naval research logistics quarterly","2(1-2)","83-97","",""
"Hopcroft ’73","Hopcroft","Karp",,"An n^5/2 algorithm for maximum matchings in bipartite graphs","1973","SIAM Journal on Computing","2(4)","225-231","",""
"Bellman ’58","Bellman","Richard",,"On a routing problem","1958","Quarterly of Applied Mathematics","16","87–90","",""
"Ford ’56","Ford","Lester R. Jr.",,"Network Flow Theory","1956","Paper P-923. Santa Monica, California: RAND Corporation","","","",""
"Morselli ’08","Morselli","Roy",,"Brokerage qualifications in ringing operations","2008","Criminology","46(1)","71-98","",""
"Kazerani ’09","Kazerani","Winter",,"Can betweenness centrality explain traffic flow","2009","In 12th AGILE international conference on geographic information science","","1-9","",""
"Bonacich ’87","Bonacich","",,"Power and centrality: A family of measures","1987","American journal of sociology","92(5)","1170-1182","",""
"Page ’99","Page","Brin; Motwani; Winograd",,"The PageRank citation ranking: Bringing order to the web","1999","Stanford InfoLab","","","",""
"Kleinberg ‘99","Kleinberg","",,"Authoritative sources in a hyperlinked environment","1999","Journal of the ACM (JACM)","46(5)","604-632","",""
"Cheeger ’70","Cheeger","",,"A lower bound for the smallest eigenvalue of the Laplacian, Problems in analysis","1970","Papers dedicated to Salomon Bochner, 1969","","","",""
"Donath ’72","Donath","Hoffman",,"Algorithms for partitioning of graphs and computer logic based on eigenvectors of connection matrices","1972","IBM Technical Disclosure Bulletin","15(3)","938-944","",""
"Fiedler ’73","Fiedler","",,"Algebraic connectivity of graphs","1973","Czechoslovak Mathematical Journal","23(2)","298-305","",""
"Blondel '08","Blondel","Guillaume; Lambiotte; Lefebvre",,"Fast unfolding of communities in large networks","2008","Journal of statistical mechanics: theory and experiment","2008(10)","P10008","",""
"Traag ‘19","Traag","Waltman; van Eck",,"From Louvain to Leiden: guaranteeing well-connected communities","2019","Scientific reports","9(1)","1-12","",""
"Traag ‘11","Traag","Van Dooren; Nesterov",,"Narrow scope for resolution-limit-free community detection","2011","Physical Review E","84(1)","016114","",""
"Bruna '14","Bruna","Zaremba; Szlam; LeCun",,"Spectral networks and locally connected networks on graphs","2014","In International Conference on Learning Representations (ICLR)","","","",""
"Merkwirth ’05","Merkwirth","Lengauer",,"Automatic generation of complementary descriptors with molecular graph networks","2005","Journal of chemical information and modeling","45(5)","1159-1168","",""
"Hamilton ’20","Hamilton","",,"Graph representation learning","2020","Synthesis Lectures on Artificial Intelligence and Machine Learning","14(3)","1-159","",""
"Grattarola ’22","Grattarola","Zambon; Bianchi; Alippi",,"Understanding pooling in graph neural networks","2022","IEEE Transactions on Neural Networks and Learning Systems","","","",""
"Lee ’19","Lee","Lee; Kang",,"Self-attention graph pooling","2019","In International conference on machine learning","","3734-3743","PMLR",""
"Kipf ’16","Kipf","Welling",,"Semi-supervised classification with graph convolutional networks","2016","arXiv","","","preprint arXiv:1609.02907",""
"Veličković '17","Veličković","Cucurull; Casanova; Romero; Lio; Bengio",,"Graph attention networks","2017","arXiv","","","preprint arXiv:1710.10903",""
"Hamilton ’17","Hamilton","Ying; Leskovec",,"Inductive representation learning on large graphs","2017","Advances in neural information processing systems","30","","",""
"Zhou ’20","Zhou","Cui; Hu; Zhang; Yang; Liu; Sun",,"Graph neural networks: A review of methods and applications","2020","AI open","1","57-81","",""
"Malkov ’18","Malkov","Yashunin",,"Efficient and robust approximate nearest neighbor search using hierarchical navigable small-world graphs","2018","IEEE transactions on pattern analysis and machine intelligence","42(4)","824-836","",""
"Griffin ’84","Griffin","Lim",,"Signal estimation from modified short-time Fourier transform","1984","IEEE Transactions on Acoustics, Speech, and Signal Processing","32(2)","236-243","",""
"Metropolis ’49","Metropolis","Ulam",,"The Monte Carlo method","1949","Journal of the American Statistical Association","44(247)","335–341","",""
"Metropolis ’53","Metropolis","Rosenbluth; Rosenbluth; Teller; Teller",,"Equation of state calculations by fast computing machines","1953","The journal of Chemical Physics","21(6)","1087-1092","",""
"Hastings ’70","Hastings","",,"Monte Carlo sampling methods using Markov chains and their applications","1970","","","","",""
"Geman ’84","Geman","Geman",,"Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images","1984","IEEE Transactions on Pattern Analysis and Machine Intelligence","6(6)","721–741","",""
"Kloek ’84","Kloek","Van Dijk",,"Bayesian estimates of equation system parameters: an application of integration by Monte Carlo","1978","Econometrica: Journal of the Econometric Society","","1-19","",""
"Wan ’22","Wan","Zhang; Chen; Zhang; Wen; Liao",,"Old Photo Restoration via Deep Latent Space Translation","2022","IEEE Transactions on Pattern Analysis and Machine Intelligence","45(2)","2071-2087","",""
"Perlin ’85","Perlin","",,"An image synthesizer","1985","ACM Siggraph Computer Graphics","19(3)","287-296","",""
"Perlin ’01","Perlin","",,"Noise hardware","2001","In Real-Time Shading SIGGRAPH Course Notes","6","26","",""
"Worley ’96","Worley","",,"A cellular texture basis function","1996","In Proceedings of the 23rd Annual Conference on Computer Graphics and Interactive Techniques","","291-294","",""
"Butterworth ’30","Butterworth","",,"On the theory of filter amplifiers","1930","Wireless Engineer","7(6)","536-541","",""
"Wiener ’49","Wiener","",,"Extrapolation, interpolation, and smoothing of stationary time series: with engineering applications","1949","The MIT Press","","","",""
"Kalman ’60","Kalman","",,"A New Approach to Linear Filtering and Prediction Problems","1960","Transactions of the ASME--Journal of Basic Engineering","82(D)","35-45","",""
"Chawla ’02","Chawla","Bowyer; Hall; Kegelmeyer",,"SMOTE: synthetic minority over-sampling technique","2002","Journal of Artificial Intelligence Research","16","321-357","",""
"Bunkhumpornpat ’09","Bunkhumpornpat","Sinapiromsaran; Lursinsap",,"Safe-level-smote: Safe-level-synthetic minority over-sampling technique for handling the class imbalanced problem","2009","In Advances in Knowledge Discovery and Data Mining: 13th Pacific-Asia conference, PAKDD 2009","","","",""
"He ’08","He","Bai; Garcia; Li",,"ADASYN: Adaptive synthetic sampling approach for imbalanced learning","2008","In 2008 IEEE International Joint Conference on Neural Networks","","1322-1328","",""
"Bissoto ’21","Bissoto","Valle; Avila",,"Gan-based data augmentation and anonymization for skinlesion analysis: A critical review","2021","In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition","","1847-1856","",""
"Yu ’23","Yu","Li; Lou; Liu; Wan; Chen; Li",,"Diffusion-based data augmentation for nuclei image segmentation","2023","In International Conference on Medical Image Computing and Computer-Assisted Intervention","","592-602","",""
"Wan ’21","Wan","Zhang; He",,"Variational autoencoder based synthetic data generation for imbalanced learning","2017","","","","",""
"Batista ’23","G. E. Batista","M. C. Monard",,"An analysis of four missing data treatment methods for supervised learning","2003","Applied Artificial Intelligence","17(5-6)","519-533","",""
"Stekhoven ’12","D. J. Stekhoven","P. Bühlmann",,"MissForest - non-parametric missing value imputation for mixed-type data","2012","Bioinformatics","28(1)","112-118","",""
"Oliver ’90","M. A. Oliver","R. Webster",,"Kriging: a method of interpolation for geographical information systems","1990","International Journal of Geographical Information System","4(3)","313-332","",""
"Hardy ’71","R. L. Hardy","",,"Multiquadric equations of topography and other irregular surfaces","1971","Journal of Geophysical Research","76(8)","1905-1915","",""
"Liu ’08","F. T. Liu","K. M. Ting; Z. H. Zhou",,"Isolation forest","2008","","","413-422","In 8th IEEE International Conference on Data Mining",""
"Schölkopf ’01","B. Schölkopf","J. C. Platt; J. Shawe-Taylor; A. J. Smola; R. C. Williamson",,"Estimating the Support of a High-Dimensional Distribution","2001","Neural Computation","13(7)","1443-1471","",""
"Breunig ’00","M. M. Breunig","H. P. Kriegel; R. T. Ng; J. Sander",,"LOF: identifying density-based local outliers","2000","","","93-104","In Proceedings of the 2000 ACM SIGMOD international conference on Management of data",""
"Fischler ’81","M. A. Fischler","R. C. Bolles",,"Random Sample Consensus: A Paradigm for Model Fitting with Applications to Image Analysis and Automated Cartography","1981","Communications of the ACM","24(6)","381-395","",""
"Bifet ’07","A. Bifet","R. Gavalda",,"Learning from time-changing data with adaptive windowing","2007","","","443-448","In Proceedings of the 2007 SIAM International Conference on Data Mining",""
"Cohen ’60","J. Cohen","",,"A coefficient of agreement for nominal scales","1960","Educational and psychological measurement","20(1)","37-46","",""
"Fleiss ’71","J. L. Fleiss","",,"Measuring nominal scale agreement among many raters","1971","Psychological bulletin","76(5)","378","",""
"Krippendorff ’18","K. Krippendorff","",,"Content analysis: An introduction to its methodology","2018","Sage publications","","","",""
"Lewis ’20","P. Lewis","E. Perez; A. Piktus; F. Petroni; V. Karpukhin; N. Goyal; D. Kiela",,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","2020","Advances in Neural Information Processing Systems","33","9459-9474","",""
"Ji ’23","X. Ji","Y. Sungu-Eryilmaz; E. Momeni; R. Rawassizadeh",,"Speeding Up Question Answering Task of Language Models via Inverted Index","2023","","","","The Generative AI for Pervasive Computing Symposium (GenAI4PC), in conjunction with ACM Interactive, Mobile, Wearable and Ubiquitous Technologies. arXiv:2210.13578",""
"Wei ’22","J. Wei","X. Wang; D. Schuurmans; M. Bosma; F. Xia; E. Chi; D. Zhou",,"Chain-of-thought prompting elicits reasoning in large language models","2022","Advances in Neural Information Processing Systems","35","24824-24837","",""
"Wang ’22","X. Wang","J. Wei; D. Schuurmans; Q. Le; E. Chi; S. Narang; D. Zhou",,"Self-consistency Improves the Chain of Thought Reasoning in Language Models","2022","","","","arXiv preprint arXiv:2203.11171",""
"Yao ’23","S. Yao","D. Yu; J. Zhao; I. Shafran; T. L. Griffiths; Y. Cao; K. Narasimhan",,"Tree of Thoughts: Deliberate Problem Solving with Large Language Models","2023","","","","arXiv preprint arXiv:2305.10601",""
"Long ’23","J. Long","",,"Large Language Model Guided Tree-of-Thought","2023","","","","arXiv preprint arXiv:2305.08291",""
"Kahneman ’11","D. Kahneman","",,"Thinking, fast and slow","2011","MacMillan","","","",""
"Bansal ’18","N. Bansal","X. Chen; Z. Wang",,"Can we gain more from orthogonality regularizations in training deep networks?","2018","Advances in Neural Information Processing Systems","31","","",""
"Lundberg ’17","S. M. Lundberg","S. I. Lee",,"A unified approach to interpreting model predictions","2017","Advances in neural information processing systems","30","","",""
"Shapley ’51","L. S. Shapley","",,"A value for n-person games","1953","In H. W. Kuhn & A. W. Tucker (Eds.), Contributions to the Theory of Games","Vol. 2","307-317","Princeton University Press",""
"Ribeiro ’16","M. T. Ribeiro","S. Singh; C. Guestrin",,""" Why should I trust you?"" Explaining the predictions of any classifier","2016","","","","In Proceedings of the 22nd ACM SIGKDD international conference on Knowledge Discovery and Data mining (pp. 1135-1144)",""
